Ticker,sector,sectorKey,industry,beta,marketCap
KMX,Consumer Cyclical,consumer-cyclical,Auto & Truck Dealerships,1.605,12750540800.0
ALLE,Industrials,industrials,Security & Protection Services,1.14,11416218624.0
EVRG,Utilities,utilities,Utilities - Regulated Electric,0.557,11854067712.0
TAP,Consumer Defensive,consumer-defensive,Beverages - Brewers,0.845,14332450816.0
CRL,Healthcare,healthcare,Diagnostics & Research,1.392,13298058240.0
FFIV,Technology,technology,Software - Infrastructure,1.105,11049684992.0
QRVO,Technology,technology,Semiconductors,1.563,10798949376.0
WRK,Consumer Cyclical,consumer-cyclical,Packaging & Containers,1.097,12488596480.0
AES,Utilities,utilities,Utilities - Diversified,1.056,10669228032.0
HII,Industrials,industrials,Aerospace & Defense,0.603,11442503680.0
UDR,Real Estate,real-estate,REIT - Residential,0.785,13216758784.0
TECH,Healthcare,healthcare,Biotechnology,1.223,11399563264.0
DAY,Technology,technology,Software - Application,1.305,10281092096.0
GL,Financial Services,financial-services,Insurance - Life,0.699,10872915968.0
INCY,Healthcare,healthcare,Biotechnology,0.655,13105582080.0
BF.B,,,,,
REG,Real Estate,real-estate,REIT - Retail,1.179,10970329088.0
CTLT,Healthcare,healthcare,Drug Manufacturers - Specialty & Generic,1.201,10161090560.0
WYNN,Consumer Cyclical,consumer-cyclical,Resorts & Casinos,1.947,11105808384.0
NI,Utilities,utilities,Utilities - Regulated Gas,0.48,11859411968.0
BBWI,Consumer Cyclical,consumer-cyclical,Specialty Retail,1.848,10309687296.0
CPT,Real Estate,real-estate,REIT - Residential,0.844,10535376896.0
UHS,Healthcare,healthcare,Medical Care Facilities,1.237,11687557120.0
PEAK,Real Estate,real-estate,REIT - Healthcare Facilities,0.999,9495476224.0
NWSA,Communication Services,communication-services,Entertainment,1.346,14682255360.0
AOS,Industrials,industrials,Specialty Industrial Machinery,1.238,12807716864.0
EMN,Basic Materials,basic-materials,Specialty Chemicals,1.539,10830851072.0
TPR,Consumer Cyclical,consumer-cyclical,Luxury Goods,1.588,10743503872.0
MOS,Basic Materials,basic-materials,Agricultural Inputs,1.499,10326215680.0
HSIC,Healthcare,healthcare,Medical Distribution,0.871,9583977472.0
AAL,Industrials,industrials,Airlines,1.577,9140407296.0
PAYC,Technology,technology,Software - Application,1.165,10728786944.0
MTCH,Communication Services,communication-services,Internet Content & Information,1.484,8991802368.0
CZR,Consumer Cyclical,consumer-cyclical,Resorts & Casinos,2.811,8472470528.0
APA,Energy,energy,Oil & Gas E&P,3.268,9649695744.0
AIZ,Financial Services,financial-services,Insurance - Specialty,0.498,9416262656.0
BXP,Real Estate,real-estate,REIT - Office,1.166,9828888576.0
ETSY,Consumer Cyclical,consumer-cyclical,Internet Retail,2.021,7851280384.0
CHRW,Industrials,industrials,Integrated Freight & Logistics,0.725,8642920448.0
RHI,Industrials,industrials,Staffing & Employment Services,1.261,8295729664.0
HRL,Consumer Defensive,consumer-defensive,Packaged Foods,0.267,18698067968.0
CPB,Consumer Defensive,consumer-defensive,Packaged Foods,0.228,12731978752.0
MKTX,Financial Services,financial-services,Capital Markets,0.981,8272199168.0
GNRC,Industrials,industrials,Specialty Industrial Machinery,1.436,6742928896.0
BEN,Financial Services,financial-services,Asset Management,1.419,14164410368.0
FRT,Real Estate,real-estate,REIT - Retail,1.23,8288939520.0
PNW,Utilities,utilities,Utilities - Regulated Electric,0.469,8051048960.0
BWA,Consumer Cyclical,consumer-cyclical,Auto Parts,1.281,7380533248.0
NCLH,Consumer Cyclical,consumer-cyclical,Travel Services,2.595,8257745408.0
IVZ,Financial Services,financial-services,Asset Management,1.429,6931217920.0
FOXA,Communication Services,communication-services,Entertainment,0.794,13405741056.0
XRAY,Healthcare,healthcare,Medical Instruments & Supplies,0.998,6809801216.0
RL,Consumer Cyclical,consumer-cyclical,Apparel Manufacturing,1.546,11608889344.0
BIO,Healthcare,healthcare,Medical Devices,0.873,9504501760.0
CMA,Financial Services,financial-services,Banks - Regional,1.272,6556930560.0
FMC,Basic Materials,basic-materials,Agricultural Inputs,0.857,8115703296.0
HAS,Consumer Cyclical,consumer-cyclical,Leisure,0.713,7398948864.0
PARA,Communication Services,communication-services,Entertainment,1.783,7769415168.0
WHR,Consumer Cyclical,consumer-cyclical,"Furnishings, Fixtures & Appliances",1.461,5725056000.0
DVA,Healthcare,healthcare,Medical Care Facilities,1.034,11931867136.0
ZION,Financial Services,financial-services,Banks - Regional,1.117,5872964608.0
MHK,Consumer Cyclical,consumer-cyclical,"Furnishings, Fixtures & Appliances",1.331,7505347072.0
VFC,Consumer Cyclical,consumer-cyclical,Apparel Manufacturing,1.527,5746700288.0
FOX,Communication Services,communication-services,Entertainment,0.794,13406170112.0
NWS,Communication Services,communication-services,Entertainment,1.346,14682265600.0
